,traffic,hour,is_weekday,delay_impact_index,flights_before_take_off,traffic_lag_5,flight_numbers,traffic_lag_1,traffic_lag_2,traffic_lag_4,traffic_same_period_last_year,traffic_change_from_last_year,traffic_ratio_from_last_year,traffic_lag_3
0,1.0,0.0,1.0,0.09,15.0,0.0,353.0,0.0,0.0,0.0,1.0986,-0.4055,0.6309,0.0
1,0.0,0.0,1.0,0.05,10.0,0.0,1359.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.6931,0.0,0.0,0.6931,-0.6931,0.0,0.0
3,0.0,1.0,1.0,0.01,15.0,0.0,194.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.0
4,1.0,2.0,1.0,0.04,15.0,0.0,251.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.0
5,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.0,3.0,1.0,0.1,12.0,0.0,424.0,0.6931,0.0,0.0,0.0,0.0,1.0,0.0
7,1.0,3.0,1.0,0.01,2.0,1.0,55.0,0.0,0.6931,0.0,0.0,0.6931,1.0,0.0
8,0.0,4.0,1.0,0.01,1.0,0.0,114.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
9,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,1.0,0.0
10,0.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.6931,0.0,0.0,0.0,1.0,0.0
11,0.0,5.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,6.0,1.0,0.01,163.0,1.0,114.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.0
13,0.0,6.0,1.0,0.13,356.0,3.0,1335.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,7.0,1.0,0.65,446.0,10.0,7231.0,0.6931,0.0,0.0,0.0,0.0,1.0,0.0
15,0.0,7.0,1.0,0.84,476.0,5.0,9531.0,0.0,0.6931,0.0,1.3863,-1.3863,0.0,0.0
16,0.0,8.0,1.0,1.94,483.0,20.0,21783.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
17,0.0,8.0,1.0,1.03,345.0,10.0,13085.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,1.0,9.0,1.0,0.95,333.0,10.0,13113.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.0
19,0.0,9.0,1.0,0.91,312.0,13.0,10428.0,0.0,0.0,0.0,1.3863,-1.3863,0.0,0.0
20,0.0,10.0,1.0,0.56,316.0,10.0,6759.0,0.6931,0.0,0.0,0.0,0.0,1.0,0.0
21,0.0,10.0,1.0,0.91,357.0,10.0,9683.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.0
22,2.0,11.0,1.0,0.74,349.0,9.0,9706.0,0.0,0.0,0.0,0.6931,0.4055,1.5851,0.0
23,0.0,11.0,1.0,0.95,369.0,11.0,12555.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.0
24,2.0,12.0,1.0,0.97,357.0,7.0,12879.0,1.0986,0.0,0.0,0.0,1.0986,1.0,0.6931
25,0.0,12.0,1.0,0.83,339.0,14.0,10837.0,0.0,1.0986,0.0,1.0986,-1.0986,0.0,0.0
26,0.0,13.0,1.0,0.94,332.0,15.0,11550.0,1.0986,0.0,0.0,1.6094,-1.6094,0.0,0.0
27,0.0,13.0,1.0,0.83,319.0,10.0,10814.0,0.0,1.0986,0.0,0.6931,-0.6931,0.0,0.0
28,3.0,14.0,1.0,0.79,332.0,10.0,9547.0,0.0,0.0,0.0,0.6931,0.6932,2.0001,0.6931
29,0.0,14.0,1.0,0.76,348.0,10.0,9587.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
30,0.0,15.0,1.0,0.81,370.0,14.0,10163.0,1.3863,0.0,0.0,0.0,0.0,1.0,0.0
31,0.0,15.0,1.0,0.96,382.0,10.0,11127.0,0.0,1.3863,0.0,1.6094,-1.6094,0.0,0.6931
32,0.0,16.0,1.0,0.95,382.0,12.0,10944.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
33,2.0,16.0,1.0,0.98,366.0,19.0,10395.0,0.0,0.0,0.0,0.6931,0.4055,1.5851,0.0
34,0.0,17.0,1.0,0.93,343.0,11.0,10549.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,0.0,17.0,1.0,0.96,326.0,13.0,10491.0,1.0986,0.0,0.0,1.0986,-1.0986,0.0,0.0
36,0.0,18.0,1.0,0.79,309.0,16.0,9552.0,0.0,1.0986,0.0,0.6931,-0.6931,0.0,0.6931
37,1.0,18.0,1.0,0.75,320.0,11.0,7798.0,0.0,0.0,0.0,1.0986,-0.4055,0.6309,0.0
38,1.0,19.0,1.0,0.76,326.0,22.0,10087.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.0
39,1.0,19.0,1.0,0.79,330.0,14.0,9758.0,0.6931,0.0,0.0,0.6931,0.0,1.0,0.0
40,0.0,20.0,1.0,0.9,300.0,11.0,10377.0,0.6931,0.6931,0.0,1.3863,-1.3863,0.0,0.0
41,1.0,20.0,1.0,0.81,268.0,11.0,10065.0,0.6931,0.6931,0.0,1.6094,-0.9163,0.4307,0.0
42,0.0,21.0,1.0,0.8,216.0,19.0,10363.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.6931
43,0.0,21.0,1.0,0.49,164.0,10.0,6909.0,0.6931,0.0,0.0,0.0,0.0,1.0,0.0
44,0.0,22.0,1.0,0.58,129.0,13.0,6979.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.0
45,1.0,22.0,1.0,0.29,77.0,10.0,2976.0,0.0,0.0,0.0,1.0986,-0.4055,0.6309,0.0
46,1.0,23.0,1.0,0.28,55.0,4.0,3267.0,0.0,0.0,0.0,1.0986,-0.4055,0.6309,1.0986
47,0.0,23.0,1.0,0.14,30.0,5.0,2000.0,0.6931,0.0,0.0,0.6931,-0.6931,0.0,0.0
48,0.0,0.0,1.0,0.06,19.0,1.0,266.0,0.6931,0.6931,0.0,1.0986,-1.0986,0.0,1.0986
49,1.0,0.0,1.0,0.07,16.0,0.0,1536.0,0.0,0.6931,0.0,1.0986,-0.4055,0.6309,0.0
50,0.0,1.0,1.0,0.03,9.0,0.0,174.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
51,0.0,1.0,1.0,0.03,16.0,0.0,231.0,0.6931,0.0,0.0,1.0986,-1.0986,0.0,0.0
52,0.0,2.0,1.0,0.03,14.0,0.0,250.0,0.0,0.6931,0.0,0.0,0.0,1.0,1.3863
53,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,0.0,3.0,1.0,0.1,12.0,0.0,329.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
55,0.0,3.0,1.0,0.01,2.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,0.0,4.0,1.0,0.01,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0986
58,0.0,5.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,0.0,5.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,0.0,6.0,1.0,0.01,167.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,0.0,6.0,1.0,0.16,349.0,3.0,1518.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.6931
62,0.0,7.0,1.0,0.69,436.0,14.0,7538.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931
63,2.0,7.0,1.0,0.81,467.0,12.0,8915.0,0.0,0.0,0.0,0.6931,0.4055,1.5851,0.6931
64,0.0,8.0,1.0,1.83,474.0,19.0,20381.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
65,0.0,8.0,1.0,1.03,355.0,6.0,12196.0,1.0986,0.0,0.0,1.0986,-1.0986,0.0,0.6931
66,0.0,9.0,1.0,1.0,339.0,10.0,12645.0,0.0,1.0986,0.0,1.0986,-1.0986,0.0,0.0
